213,"2-комн. квартира, 73 м²",56000000,Замоскворечье,Добрынинская ,10,73,8,14,Дизайнерский,2013,Кирпичный
214,"2-комн. квартира, 73,3 м²",56000000,Замоскворечье,Добрынинская ,10,73,9,14,Дизайнерский,2013,Кирпичный
215,"2-комн. квартира, 80 м²",57700000,Пресненский,Пушкинская ,5,80,3,12,Косметический,1972,Кирпичный
216,"2-комн. квартира, 99 м²",66900000,Пресненский,Улица 1905 года,8,99,5,18,Дизайнерский,2016,Монолитный
217,"2-комн. квартира, 90 м²",69672000,Пресненский,Выставочная ,3,90,16,18,Дизайнерский,2016,Монолитный
218,"2-комн. квартира, 160 м²",74286840,Тверской,Маяковская ,5,160,4,12,Дизайнерский,2003,Монолитный
219,"2-комн. квартира, 134,7 м²",89000000,Арбат,Смоленская ,5,134,4,17,Косметический,2006,Монолитный
220,"2-комн. квартира, 55,2 м²",8300000,Вешняки,Новогиреево ,17,55,1,9,Евроремонт,1971,Панельный
221,"2-комн. квартира, 53 м²",11900000,Южное Тушино,Сходненская ,5,53,11,12,Косметический,1982,Панельный
222,"2-комн. квартира, 65 м²",17750000,Хорошевский,ЦСКА ,12,65,6,17,Косметический,2006,Блочный
223,"2-комн. квартира, 47 м²",7300000,Гольяново,Щелковская ,15,47,3,12,Косметический,1969,Блочный
224,"2-комн. квартира, 64,7 м²",7340000,,Бунинская аллея ,3,64,1,17,Евроремонт,2015,Панельный
225,"2-комн. квартира, 42,3 м²",7800000,Беговой,Динамо ,12,42,4,5,Косметический,1963,Панельный
226,"2-комн. квартира, 43,6 м²",8500000,Новогиреево,Новогиреево ,3,43,7,9,Косметический,1967,Кирпичный
227,"2-комн. квартира, 64 м²",9300000,Некрасовка,Некрасовка ,5,64,2,17,Косметический,2013,Панельный
228,"2-комн. квартира, 54 м²",9750000,Тропарево-Никулино,Озерная ,15,54,2,16,Косметический,1979,Панельный
229,"2-комн. квартира, 52 м²",10000000,Отрадное,Ботанический сад ,7,52,5,12,Косметический,1980,Панельный
230,"2-комн. квартира, 55 м²",10000000,Солнцево,Солнцево ,7,55,7,16,Евроремонт,2017,Монолитный
231,"2-комн. квартира, 47,1 м²",12100000,Сокол,Зорге ,15,47,2,7,Косметический,1950,Кирпичный
